word,up_count,down_count,total,up1,down1,p_score,polarity
옥석/NNG,32.0,33.0,65.0,33.0,34.0,0.6336390378461773,Dovish
타임/NNG,19.0,7.0,26.0,20.0,8.0,1.6321005520280323,Hawikish
걸렸/VV,20.0,7.0,27.0,21.0,8.0,1.713705579629434,Hawikish
순환매/NNG,24.0,9.0,33.0,25.0,10.0,1.6321005520280323,Hawikish
냄/NNG,3.0,18.0,21.0,4.0,19.0,0.13744004648657113,Dovish
중소형사/NNG,11.0,10.0,21.0,12.0,11.0,0.7121893317940504,Dovish
잠재/NNG;성장/NNG,15.0,13.0,28.0,16.0,14.0,0.7461031094985291,Dovish
편/NNG,29.0,25.0,54.0,30.0,26.0,0.7532771778590919,Dovish
림/NNG,15.0,19.0,34.0,16.0,20.0,0.5222721766489703,Dovish
대체투자/NNG,41.0,17.0,58.0,42.0,18.0,1.5232938485594971,Hawikish
fed/NNG;금리/NNG;인상/NNG;중단/NNG,17.0,5.0,22.0,18.0,6.0,1.9585206624336386,Hawikish
경기/NNG;둔화/NNG;압력/NNG,11.0,4.0,15.0,12.0,5.0,1.5668165299469108,Hawikish
자율적/VAX,9.0,18.0,27.0,10.0,19.0,0.34360011621642783,Dovish
긴급대출/NNG,9.0,9.0,18.0,10.0,10.0,0.6528402208112128,Dovish
인터내셔널/NNG,69.0,32.0,101.0,70.0,33.0,1.3848125895995427,Hawikish
crb/NNG,53.0,26.0,79.0,54.0,27.0,1.305680441622426,Hawikish
fed/NNG;물가/NNG;안정/NNG,29.0,9.0,38.0,30.0,10.0,1.9585206624336386,Hawikish
수요/NNG;압력/NNG,19.0,18.0,37.0,20.0,19.0,0.6872002324328557,Dovish
인플레이션/NNG;상방/NNG,19.0,9.0,28.0,20.0,10.0,1.3056804416224257,Hawikish
구현/NNG,13.0,17.0,30.0,14.0,18.0,0.507764616186499,Dovish
공개시장조작/NNG,11.0,22.0,33.0,12.0,23.0,0.3406122891188937,Dovish
고공행진/NNG,68.0,26.0,94.0,69.0,27.0,1.6683694531842108,Hawikish
속한/VV,12.0,16.0,28.0,13.0,17.0,0.4992307570909276,Dovish
항만/NNG,18.0,5.0,23.0,19.0,6.0,2.067327365902174,Hawikish
바람직/NNG,148.0,158.0,306.0,149.0,159.0,0.6117810874268599,Dovish
시위/NNG,13.0,6.0,19.0,14.0,7.0,1.305680441622426,Hawikish
예보/NNG,10.0,19.0,29.0,11.0,20.0,0.3590621214461671,Dovish
인적분할/NNG,15.0,5.0,20.0,16.0,6.0,1.7409072554965679,Hawikish
누차/MAG,15.0,14.0,29.0,16.0,15.0,0.6963629021986272,Dovish
추석/NNG,61.0,20.0,81.0,62.0,21.0,1.9274330328712,Hawikish
가중치/NNG,44.0,17.0,61.0,45.0,18.0,1.6321005520280325,Hawikish
비과세/NNG,22.0,19.0,41.0,23.0,20.0,0.7507662539328949,Dovish
통화/NNG;강세/NNG,30.0,35.0,65.0,31.0,36.0,0.5621679679207667,Dovish
로보틱스/NNG,17.0,21.0,38.0,18.0,22.0,0.5341419988455378,Dovish
갈수록/MAG,207.0,94.0,301.0,208.0,95.0,1.42937648346034,Hawikish
거시/NNG;하방/NNG;위험/NNG,6.0,18.0,24.0,7.0,19.0,0.2405200813514995,Dovish
하한가/NNG,23.0,10.0,33.0,24.0,11.0,1.4243786635881008,Hawikish
단언/NNG,16.0,16.0,32.0,17.0,17.0,0.652840220811213,Dovish
떤/VV,24.0,11.0,35.0,25.0,12.0,1.3600837933566936,Hawikish
비연/NNG,20.0,8.0,28.0,21.0,9.0,1.5232938485594971,Hawikish
옅/VA,46.0,22.0,68.0,47.0,23.0,1.3340647990490002,Hawikish
우량등급/NNG,192.0,171.0,363.0,193.0,172.0,0.732547457073047,Dovish
재검토/NNG,29.0,14.0,43.0,30.0,15.0,1.305680441622426,Hawikish
무주택/NNG,12.0,4.0,16.0,13.0,5.0,1.6973845741091536,Hawikish
여력/NNG;제한/NNG,29.0,14.0,43.0,30.0,15.0,1.305680441622426,Hawikish
첫발/NNG,9.0,11.0,20.0,10.0,12.0,0.5440335173426774,Dovish
자본지출/NNG,54.0,25.0,79.0,55.0,26.0,1.381008159408335,Hawikish
컨퍼런스/NNG,40.0,42.0,82.0,41.0,43.0,0.6224755593781333,Dovish
금융시장/NNG;국제/NNG;금융시장/NNG;불안/NNG,8.0,7.0,15.0,9.0,8.0,0.7344452484126146,Dovish
기로/NNG,11.0,5.0,16.0,12.0,6.0,1.3056804416224257,Hawikish
갈리/VV,18.0,6.0,24.0,19.0,7.0,1.7719948850590066,Hawikish
드러날/VV,13.0,4.0,17.0,14.0,5.0,1.827952618271396,Hawikish
바이백/NNG,45.0,16.0,61.0,46.0,17.0,1.7665088327832823,Hawikish
물가/NNG;상승/NNG;압력/NNG;낮/VA,12.0,14.0,26.0,13.0,15.0,0.5657948580363846,Dovish
사각지대/NNG,8.0,10.0,18.0,9.0,11.0,0.5341419988455378,Dovish
유찰/NNG,8.0,11.0,19.0,9.0,12.0,0.48963016560840966,Dovish
수요/NNG;압력/NNG;증대/NNG,12.0,3.0,15.0,13.0,4.0,2.121730717636442,Hawikish
설비/NNG;투자/NNG;회복/NNG,16.0,25.0,41.0,17.0,26.0,0.4268570674534854,Dovish
부정적/VAX;파급효과/NNG,7.0,12.0,19.0,8.0,13.0,0.40174782819151567,Dovish
일시적/VAX;상승/NNG,12.0,15.0,27.0,13.0,16.0,0.5304326794091105,Dovish
나스닥/NNG,286.0,126.0,412.0,287.0,127.0,1.475316089549749,Hawikish
반기/NNG,72.0,72.0,144.0,73.0,73.0,0.6528402208112128,Dovish
내세운/VV,9.0,8.0,17.0,10.0,9.0,0.7253780231235699,Dovish
지표/NNG;개선/NNG,14.0,15.0,29.0,15.0,16.0,0.6120377070105122,Dovish
관찰대상국/NNG,15.0,4.0,19.0,16.0,5.0,2.089088706595881,Hawikish
운송장/NNG,11.0,12.0,23.0,12.0,13.0,0.6026217422872734,Dovish
크기/NNG,40.0,36.0,76.0,41.0,37.0,0.7234175419799926,Dovish
시설자금/NNG,78.0,17.0,95.0,79.0,18.0,2.8652431913381013,Hawikish
오르내리/VV,8.0,9.0,17.0,9.0,10.0,0.5875561987300916,Dovish
스페이스/NNG,63.0,54.0,117.0,64.0,55.0,0.7596686205803205,Dovish
갖추/VV,61.0,57.0,118.0,62.0,58.0,0.6978636843154344,Dovish
특파원/NNG,331.0,135.0,466.0,332.0,136.0,1.593698186097961,Hawikish
fed/NNG;자산/NNG;감소/NNG,21.0,8.0,29.0,22.0,9.0,1.595831650871854,Hawikish
지식재산/NNG,10.0,9.0,19.0,11.0,10.0,0.7181242428923342,Dovish
기온/NNG,26.0,8.0,34.0,27.0,9.0,1.9585206624336389,Hawikish
파/NNG,67.0,30.0,97.0,68.0,31.0,1.4320366133923381,Hawikish
올바르/VA,31.0,14.0,45.0,32.0,15.0,1.3927258043972544,Hawikish
월별/NNG,138.0,67.0,205.0,139.0,68.0,1.3344822160699794,Hawikish
마일/NNG,15.0,5.0,20.0,16.0,6.0,1.7409072554965679,Hawikish
최고가/NNG,59.0,23.0,82.0,60.0,24.0,1.6321005520280323,Hawikish
이자율/NNG,108.0,94.0,202.0,109.0,95.0,0.7490482533518128,Dovish
기물/NNG,18.0,17.0,35.0,19.0,18.0,0.6891091219673915,Dovish
물가/NNG;불확실성/NNG,49.0,18.0,67.0,50.0,19.0,1.718000581082139,Hawikish
재반/NNG,16.0,15.0,31.0,17.0,16.0,0.6936427346119137,Dovish
반토막/NNG,13.0,3.0,16.0,14.0,4.0,2.2849407728392457,Hawikish
성장/NNG;개선/NNG,18.0,6.0,24.0,19.0,7.0,1.7719948850590066,Hawikish
융통성/NNG,19.0,8.0,27.0,20.0,9.0,1.4507560462471398,Hawikish
표하/VV,16.0,3.0,19.0,17.0,4.0,2.774570938447655,Hawikish
특수은행채/NNG,11.0,19.0,30.0,12.0,20.0,0.3917041324867277,Dovish
금리/NNG;ecb/NNG;금리/NNG;인상/NNG,13.0,4.0,17.0,14.0,5.0,1.827952618271396,Hawikish
부응/NNG,13.0,5.0,18.0,14.0,6.0,1.523293848559497,Hawikish
비춰/VV,10.0,9.0,19.0,11.0,10.0,0.7181242428923342,Dovish
평잔/NNG,33.0,31.0,64.0,34.0,32.0,0.6936427346119137,Dovish
매입액/NNG,16.0,19.0,35.0,17.0,20.0,0.5549141876895309,Dovish
글로벌/NNG;금리/NNG;하락/NNG,9.0,12.0,21.0,10.0,13.0,0.5021847852393946,Dovish
스카/NNG,35.0,3.0,38.0,36.0,4.0,5.875561987300917,Hawikish
부동산/NNG;경기/NNG;둔화/NNG,27.0,13.0,40.0,28.0,14.0,1.305680441622426,Hawikish
자구계획/NNG,21.0,19.0,40.0,22.0,20.0,0.7181242428923342,Dovish
피봇/NNG,63.0,30.0,93.0,64.0,31.0,1.34779916554573,Hawikish
고용/NNG;견조/NNG,32.0,12.0,44.0,33.0,13.0,1.657209791290002,Hawikish
일상/NNG,30.0,12.0,42.0,31.0,13.0,1.556772834242123,Hawikish
트위터/NNG,73.0,11.0,84.0,74.0,12.0,4.025848028335814,Hawikish
개/VV,8.0,7.0,15.0,9.0,8.0,0.7344452484126146,Dovish
금리/NNG;인상/NNG;가능성/NNG;높/VA,12.0,5.0,17.0,13.0,6.0,1.4144871450909615,Hawikish
발달/NNG,21.0,18.0,39.0,22.0,19.0,0.7559202556761413,Dovish
테너/NNG,16.0,7.0,23.0,17.0,8.0,1.3872854692238274,Hawikish
분포/NNG,50.0,52.0,102.0,51.0,53.0,0.6282047407806011,Dovish
패러다임/NNG,12.0,11.0,23.0,13.0,12.0,0.7072435725454808,Dovish
만일/MAG,16.0,23.0,39.0,17.0,24.0,0.4624284897412758,Dovish
불확실성/NNG;경계/NNG,10.0,9.0,19.0,11.0,10.0,0.7181242428923342,Dovish
이상거래/NNG,97.0,96.0,193.0,98.0,97.0,0.6595705323659677,Dovish
눈치보/VV,13.0,5.0,18.0,14.0,6.0,1.523293848559497,Hawikish
퇴직연금/NNG,33.0,16.0,49.0,34.0,17.0,1.305680441622426,Hawikish
휴전/NNG,12.0,13.0,25.0,13.0,14.0,0.6062087764675549,Dovish
인플레이션/NNG;고점/NNG,13.0,3.0,16.0,14.0,4.0,2.2849407728392457,Hawikish
금리/NNG;fed/NNG;금리/NNG;인상/NNG,23.0,9.0,32.0,24.0,10.0,1.5668165299469108,Hawikish
베이지북/NNG,45.0,21.0,66.0,46.0,22.0,1.3650295526052634,Hawikish
여소/NNG,17.0,4.0,21.0,18.0,5.0,2.3502247949203663,Hawikish
객/NNG,33.0,11.0,44.0,34.0,12.0,1.8497139589651033,Hawikish
경제/NNG;부진/NNG,12.0,20.0,32.0,13.0,21.0,0.40413918431170326,Dovish
회복/NNG;제약/NNG,10.0,20.0,30.0,11.0,21.0,0.34196392518682583,Dovish
경기/NNG;긍정적/VAX,13.0,5.0,18.0,14.0,6.0,1.523293848559497,Hawikish
방치/NNG,9.0,8.0,17.0,10.0,9.0,0.7253780231235699,Dovish
인상/NNG;가능성/NNG;배제/NNG,13.0,15.0,28.0,14.0,16.0,0.5712351932098114,Dovish
종류별/NNG,65.0,30.0,95.0,66.0,31.0,1.3899178894690338,Hawikish
충실/NNG,11.0,11.0,22.0,12.0,12.0,0.6528402208112128,Dovish
높/VA;우려/NNG,12.0,11.0,23.0,13.0,12.0,0.7072435725454808,Dovish
차익거래/NNG,54.0,52.0,106.0,55.0,53.0,0.6774757008418247,Dovish
유동성/NNG;확대/NNG,11.0,14.0,25.0,12.0,15.0,0.5222721766489703,Dovish
피벗/NNG,90.0,34.0,124.0,91.0,35.0,1.6973845741091536,Hawikish
싸/VA,23.0,22.0,45.0,24.0,23.0,0.6812245782377874,Dovish
채소/NNG,27.0,7.0,34.0,28.0,8.0,2.2849407728392457,Hawikish
검증/NNG,35.0,35.0,70.0,36.0,36.0,0.652840220811213,Dovish
청소년/NNG,11.0,5.0,16.0,12.0,6.0,1.3056804416224257,Hawikish
베이시스포인트/NNG,11.0,11.0,22.0,12.0,12.0,0.6528402208112128,Dovish
고삐/NNG,21.0,6.0,27.0,22.0,7.0,2.051783551120955,Hawikish
번질/VV,8.0,7.0,15.0,9.0,8.0,0.7344452484126146,Dovish
뒤따르/VV,26.0,11.0,37.0,27.0,12.0,1.468890496825229,Hawikish
복기/NNG,34.0,12.0,46.0,35.0,13.0,1.757646748337881,Hawikish
긴급/NNG,97.0,91.0,188.0,98.0,92.0,0.6954167569510746,Dovish
기업공개/NNG,30.0,14.0,44.0,31.0,15.0,1.34920312300984,Hawikish
경기/NNG;금융안정/NNG,31.0,14.0,45.0,32.0,15.0,1.3927258043972544,Hawikish
시장리스크/NNG,24.0,22.0,46.0,25.0,23.0,0.7096089356643619,Dovish
엘에스엠/NNG,58.0,23.0,81.0,59.0,24.0,1.6048988761608987,Hawikish
주유소/NNG,29.0,9.0,38.0,30.0,10.0,1.9585206624336386,Hawikish
신신/NNG,7.0,22.0,29.0,8.0,23.0,0.2270748594125958,Dovish
변동금리부/NNG,11.0,11.0,22.0,12.0,12.0,0.6528402208112128,Dovish
세션/NNG,13.0,3.0,16.0,14.0,4.0,2.2849407728392457,Hawikish
공급/NNG;증가/NNG,22.0,10.0,32.0,23.0,11.0,1.3650295526052634,Hawikish
외증/NNG,13.0,16.0,29.0,14.0,17.0,0.537633123020999,Dovish
미국인/NNG,37.0,15.0,52.0,38.0,16.0,1.5504955244266307,Hawikish
경기/NNG;불안/NNG,14.0,4.0,18.0,15.0,5.0,1.9585206624336386,Hawikish
예치/NNG,136.0,67.0,203.0,137.0,68.0,1.3152810331049438,Hawikish
낮/VA;금리/NNG;인상/NNG,13.0,6.0,19.0,14.0,7.0,1.305680441622426,Hawikish
과도기/NNG,12.0,4.0,16.0,13.0,5.0,1.6973845741091536,Hawikish
스왑레이트/NNG;상승/NNG,8.0,8.0,16.0,9.0,9.0,0.652840220811213,Dovish
휘발유/NNG,62.0,22.0,84.0,63.0,23.0,1.788214517874192,Hawikish
성장기반/NNG,15.0,28.0,43.0,16.0,29.0,0.36018770803377265,Dovish
채널/NNG,41.0,45.0,86.0,42.0,46.0,0.596071505958064,Dovish
찬물/NNG,36.0,5.0,41.0,37.0,6.0,4.025848028335814,Hawikish
